Published,Sentiment Score
2024-04-03,0.5700000000000001
2024-04-04,0.725
2024-04-05,0.6749999999999999
2024-04-07,0.725
2024-04-08,0.42000000000000004
2024-04-10,0.8
2024-04-11,0.7
2024-04-15,0.2
2024-04-16,0.25
2024-04-19,0.2
2024-04-22,0.35
2024-04-23,0.35
2024-04-24,0.65
2024-04-26,0.1416666666666667
2024-04-27,0.7
2024-04-29,0.6340000000000001
2024-04-30,0.375
2024-05-02,0.7
2024-05-03,0.39999999999999997
2024-05-04,0.85
2024-05-05,0.2
2024-05-06,0.2
2024-05-08,0.8
2024-05-09,0.0
2024-05-10,0.0
2024-05-11,0.55
2024-05-13,0.2
2024-05-14,0.5
2024-05-15,0.7
2024-05-16,0.2
2024-05-17,0.4
2024-05-20,0.67
2024-05-21,0.4625
2024-05-22,0.45
2024-05-23,0.42500000000000004
2024-05-24,0.7
2024-05-25,0.8
2024-05-27,0.9
2024-05-28,0.43333333333333335
2024-05-31,0.7
2024-06-01,0.1
2024-06-03,0.35
2024-06-06,0.5333333333333333
2024-06-07,0.5
2024-06-09,0.7
2024-06-11,0.4583333333333333
2024-06-12,0.45
2024-06-13,0.3333333333333333
2024-06-16,0.2
2024-06-17,0.2
2024-06-18,0.5
2024-06-19,0.7
2024-06-23,0.55
2024-06-24,0.55
2024-06-25,0.75
2024-06-27,0.2
2024-07-01,0.5
2024-07-03,0.4
2024-07-09,0.43125
2024-07-10,0.75
2024-07-14,0.2
2024-07-15,0.2
2024-07-17,0.1
2024-07-18,0.2
2024-07-21,0.4
2024-07-23,0.45
2024-07-24,0.15384615384615385
2024-07-25,0.16666666666666666
2024-07-26,0.8
2024-07-30,0.1416666666666667
2024-07-31,0.31
2024-08-02,0.06666666666666667
2024-08-05,0.05
2024-08-06,0.15000000000000002
2024-08-07,0.5666666666666667
2024-08-09,0.42000000000000004
2024-08-10,0.1
2024-08-14,0.5833333333333334
2024-08-15,0.4
2024-08-19,0.6
2024-08-20,0.4
2024-08-21,0.6833333333333332
2024-08-22,0.8
2024-08-23,0.15
2024-08-24,0.7
2024-08-27,0.2
2024-08-28,0.55
2024-08-29,0.5
2024-08-30,0.2
2024-08-31,0.8
2024-09-03,0.65
2024-09-04,0.44999999999999996
2024-09-05,0.39999999999999997
2024-09-06,0.325
2024-09-07,0.8
2024-09-11,0.475
2024-09-12,0.4
2024-09-13,0.675
2024-09-14,0.4
2024-09-15,0.8
2024-09-16,0.1
2024-09-17,0.75
2024-09-18,0.2
2024-09-19,0.35
2024-09-20,0.475
2024-09-21,0.4
2024-09-22,0.2
2024-09-24,0.55
2024-09-27,0.2
2024-09-28,0.5
2024-09-30,0.5666666666666667
2024-10-01,0.45
2024-10-02,0.30000000000000004
2024-10-03,0.5083333333333333
2024-10-05,0.2
2024-10-07,0.4833333333333334
2024-10-08,0.575
2024-10-09,0.8333333333333334
2024-10-10,0.4916666666666667
2024-10-11,0.47500000000000003
2024-10-12,0.2
2024-10-13,0.2
2024-10-14,0.7
2024-10-15,0.45
2024-10-16,0.75
2024-10-17,0.54
2024-10-18,0.3
2024-10-20,0.2
2024-10-21,0.45
2024-10-22,0.44999999999999996
2024-10-23,0.5277777777777778
2024-10-24,0.6357142857142858
2024-10-25,0.6666666666666666
2024-10-26,0.5
2024-10-28,0.4666666666666666
2024-10-29,0.36666666666666664
2024-10-30,0.39999999999999997
2024-10-31,0.5666666666666667
2024-11-03,0.55
2024-11-04,0.4
2024-11-05,0.675
2024-11-06,0.7000000000000001
2024-11-07,0.525
2024-11-08,0.7
2024-11-09,0.5
2024-11-10,0.7
2024-11-11,0.6666666666666666
2024-11-13,0.2
2024-11-14,0.4583333333333333
2024-11-15,0.4083333333333334
2024-11-18,0.7125
2024-11-19,0.7
2024-11-20,0.64
2024-11-21,0.18333333333333335
2024-11-22,0.2
2024-11-24,0.3
2024-11-25,0.7
2024-11-26,0.36
2024-11-27,0.8
