Published,Sentiment Score,Close,High,Low,Open,Volume,score_sq,score_cu,score_dev,inverted_score,skewed_score,inverted_skewed_score
2022-01-04,0.7,383.1966552734375,402.6666564941406,374.3500061035156,396.51666259765625,100248300,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2022-01-11,0.7,354.79998779296875,358.6166687011719,346.2733459472656,351.22332763671875,66063300,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2022-01-13,0.5,343.85333251953125,371.8666687011719,342.17999267578125,369.69000244140625,97209900,0.25,0.125,0.0,0.5,0.25,0.25
2022-01-18,0.5,343.5033264160156,356.92999267578125,338.6866760253906,342.2033386230469,66743400,0.25,0.125,0.0,0.5,0.25,0.25
2022-01-19,0.8,331.8833312988281,351.5566711425781,331.6666564941406,347.2366638183594,75442500,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2022-01-20,0.5,332.0899963378906,347.2200012207031,331.3333435058594,336.57666015625,70488600,0.25,0.125,0.0,0.5,0.25,0.25
2022-01-21,0.2,314.6333312988281,334.8500061035156,313.5,332.11334228515625,103416000,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2022-02-04,0.8,307.7733459472656,312.1666564941406,293.72332763671875,299.0733337402344,73625400,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2022-02-09,0.5,310.6666564941406,315.42333984375,306.6666564941406,311.6666564941406,52259400,0.25,0.125,0.0,0.5,0.25,0.25
2022-02-14,0.4,291.9200134277344,299.6266784667969,284.3833312988281,287.19000244140625,67756500,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2022-03-10,0.8,279.4333190917969,284.8166809082031,270.1199951171875,283.8166809082031,58648500,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2022-03-15,0.8,267.2966613769531,268.5233459472656,252.19000244140625,258.42333984375,66841200,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2022-03-27,0.2,363.9466552734375,365.9599914550781,351.20001220703125,355.0333251953125,102506100,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2022-03-31,0.5,359.20001220703125,367.71331787109375,358.8800048828125,364.8566589355469,48992700,0.25,0.125,0.0,0.5,0.25,0.25
2022-04-15,0.5,328.3333435058594,337.57000732421875,327.39666748046875,333.0966796875,58422300,0.25,0.125,0.0,0.5,0.25,0.25
2022-04-26,0.4,292.1400146484375,333.3333435058594,291.6666564941406,331.80999755859375,136133700,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2022-04-28,0.4,292.5033264160156,300.0,273.8999938964844,299.99334716796875,124948500,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2022-05-03,0.3,303.0833435058594,308.02667236328125,296.1966552734375,301.05999755859375,63709500,0.09,0.026999999999999996,0.2,0.7,0.09,0.48999999999999994
2022-05-10,0.7,266.67999267578125,275.1199951171875,258.0833435058594,273.10333251953125,84401700,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2022-05-12,0.4,242.6666717529297,253.22000122070312,226.6666717529297,233.6666717529297,140313000,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2022-05-14,0.2,256.5299987792969,262.45001220703125,250.52333068847656,257.82666015625,92150700,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2022-05-16,0.5,241.4566650390625,256.586669921875,239.69667053222656,255.72000122070312,86098500,0.25,0.125,0.0,0.5,0.25,0.25
2022-07-04,0.2,233.0666656494141,233.14666748046875,216.1666717529297,223.0,84581100,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2022-07-20,0.4,247.5,250.663330078125,243.48333740234375,246.78334045410156,88864200,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2022-07-21,0.6,271.7066650390625,273.26666259765625,254.86666870117188,255.1066741943359,142032300,0.36,0.21599999999999997,0.09999999999999998,0.4,0.36,0.16000000000000003
2022-08-15,0.7,309.32000732421875,313.1333312988281,301.2300109863281,301.78668212890625,89359200,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2022-08-16,0.8,306.5633239746094,314.6666564941406,302.8833312988281,311.6666564941406,88136400,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2022-08-17,0.2,303.9966735839844,309.65667724609375,300.0333251953125,303.39666748046875,68766000,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2022-09-03,0.75,270.2099914550781,282.3500061035156,269.0799865722656,281.07000732421875,50890100,0.5625,0.421875,0.25,0.25,0.5625,0.0625
2022-09-16,0.2,303.3500061035156,303.7099914550781,295.6000061035156,299.6099853515625,87087800,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2022-09-23,0.7,275.3299865722656,284.5,272.82000732421875,283.0899963378906,63748400,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2022-09-27,0.8,282.94000244140625,288.6700134277344,277.510009765625,283.8399963378906,61925200,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2022-09-28,0.8,287.80999755859375,289.0,277.57000732421875,283.0799865722656,54664800,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2022-10-11,0.5,216.5,225.75,215.0,220.9499969482422,77013200,0.25,0.125,0.0,0.5,0.25,0.25
2022-10-13,0.8,221.72000122070312,222.9900054931641,206.22000122070312,208.3000030517578,91483000,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2022-10-18,0.7,220.19000244140625,229.82000732421875,217.25,229.5,75891900,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2022-10-24,0.3,211.25,213.5,198.58999633789065,205.82000732421875,100446800,0.09,0.026999999999999996,0.2,0.7,0.09,0.48999999999999994
2022-11-11,0.4,195.97000122070312,196.52000427246097,182.58999633789065,186.0,114403600,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
